Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Armour TP (3549019) 00000 (  9.0%),"Armour TP (CSD, ON)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,"$2,100",<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Armstrong CY (5937028) 00000 (  2.9%),"Armstrong CY (CSD, BC)",78500,15700,39250,62800,94200,"<= $15,700","$15,700 - $39,250","$39,250 - $62,800","$62,800 - $94,200",">= $94,201",1962.5,392.5,981.25,1570,"$2,355",<= $393,$393 - $981,"$981 - $1,570","$1,570 - $2,355",">= $2,356"
  Armstrong RM (4618037) 00010 ( 11.2%),"Armstrong RM (CSD, MB)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,"$1,920",<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Armstrong TP (3554036) 00000 (  6.5%),"Armstrong TP (CSD, ON)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Arnprior T (3547002) 00000 (  2.5%),"Arnprior T (CSD, ON)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Arran VL (4709076) 09999 (  0.0%),"Arran VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Arran-Elderslie MU (3541043) 00000 (  3.8%),"Arran-Elderslie MU (CSD, ON)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,"$2,310",<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Arrowwood VL (4805011) 00909 (  0.0%),"Arrowwood VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
Arthabaska (2439) 00000 (  2.6%),"Arthabaska (CD, QC)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,"$1,950",<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Arundel CT (2478060) 00000 (  7.5%),"Arundel CT (CSD, QC)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,"$1,692",<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
  Ascot Corner MÃ‰ (2441055) 00000 (  1.5%),"Ascot Corner MÉ (CSD, QC)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Ashcroft VL (5933019) 00010 ( 11.1%),"Ashcroft VL (CSD, BC)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Ashfield-Colborne-Wawanosh TP (3540063) 00000 (  5.2%),"Ashfield-Colborne-Wawanosh TP (CSD, ON)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,"$2,250",<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  Asphodel-Norwood TP (3515003) 00000 (  4.5%),"Asphodel-Norwood TP (CSD, ON)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Asquith T (4712059) 00000 (  4.7%),"Asquith T (CSD, SK)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Assiginack TP (3551011) 00010 ( 13.2%),"Assiginack TP (CSD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Assiniboia T (4703036) 00000 (  5.0%),"Assiniboia T (CSD, SK)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Aston-Jonction MÃ‰ (2450013) 00000 (  0.0%),"Aston-Jonction MÉ (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,"$1,920",<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Athabasca County MD (4813044) 00010 ( 13.3%),"Athabasca County MD (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,"$2,730",<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Athabasca T (4813048) 00010 ( 10.6%),"Athabasca T (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Athens TP (3507042) 00000 (  2.7%),"Athens TP (CSD, ON)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Atikokan T (3559001) 00000 (  6.4%),"Atikokan T (CSD, ON)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Atwater VL (4705053) 09999 (  0.0%),"Atwater VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Auclair MÃ‰ (2413045) 00000 (  5.6%),"Auclair MÉ (CSD, QC)",58000,11600,29000,46400,69600,"<= $11,600","$11,600 - $29,000","$29,000 - $46,400","$46,400 - $69,600",">= $69,601",1450,290,725,1160,"$1,740",<= $290,$290 - $725,"$725 - $1,160","$1,160 - $1,740",">= $1,741"
  Audet MÃ‰ (2430055) 00000 (  1.4%),"Audet MÉ (CSD, QC)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Augusta TP (3507006) 00000 (  2.1%),"Augusta TP (CSD, ON)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,"$2,880",<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Aumond CT (2483090) 01010 ( 12.9%),"Aumond CT (CSD, QC)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,"$1,995",<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  Aupaluk TI (2499891) 09999 (  0.0%),"Aupaluk TI (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Aupaluk VN (2499105) 02929 ( 20.0%),"Aupaluk VN (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Aurora T (3519046) 00000 (  1.8%),"Aurora T (CSD, ON)",119000,23800,59500,95200,142800,"<= $23,800","$23,800 - $59,500","$59,500 - $95,200","$95,200 - $142,800",">= $142,801",2975,595,1487.5,2380,"$3,570",<= $595,"$595 - $1,488","$1,488 - $2,380","$2,380 - $3,570",">= $3,571"
  Austin MÃ‰ (2445085) 00000 (  9.2%),"Austin MÉ (CSD, QC)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Authier MÃ‰ (2487050) 00000 (  0.0%),"Authier MÉ (CSD, QC)",63600,12720,31800,50880,76320,"<= $12,720","$12,720 - $31,800","$31,800 - $50,880","$50,880 - $76,320",">= $76,321",1590,318,795,1272,"$1,908",<= $318,$318 - $795,"$795 - $1,272","$1,272 - $1,908",">= $1,909"
  Authier-Nord MÃ‰ (2487100) 00000 (  2.8%),"Authier-Nord MÉ (CSD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,"$2,130",<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Auvergne No. 76 RM (4703054) 00009 (  4.2%),"Auvergne No. 76 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Avignon (2406) 00000 (  3.4%),"Avignon (CD, QC)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,"$1,824",<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Avonlea VL (4702062) 00000 (  6.8%),"Avonlea VL (CSD, SK)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,"$2,940",<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Ayer's Cliff VL (2445035) 00000 (  3.1%),"Ayer's Cliff VL (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Aylesbury VL (4707093) 00999 ( 16.7%),"Aylesbury VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Aylmer T (3534011) 00000 (  3.9%),"Aylmer T (CSD, ON)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Aylsham VL (4714073) 00919 ( 10.0%),"Aylsham VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  ÃŽle-Ã -la-Crosse NV (4718067) 00000 (  7.8%),"Île-à-la-Crosse NV (CSD, SK)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  BÃ©arn MÃ‰ (2485020) 00000 (  4.5%),"Béarn MÉ (CSD, QC)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,"$1,716",<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
BÃ©cancour (2438) 00000 (  2.5%),"Bécancour (CD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  BÃ©cancour V (2438010) 00000 (  2.5%),"Bécancour V (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  BÃ©gin MÃ‰ (2494250) 00000 (  4.5%),"Bégin MÉ (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,"$1,860",<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  BÃ©thanie MÃ‰ (2448005) 00000 (  0.0%),"Béthanie MÉ (CSD, QC)",63600,12720,31800,50880,76320,"<= $12,720","$12,720 - $31,800","$31,800 - $50,880","$50,880 - $76,320",">= $76,321",1590,318,795,1272,"$1,908",<= $318,$318 - $795,"$795 - $1,272","$1,272 - $1,908",">= $1,909"
  Baie-Atibenne NO (2462920) 09999 (  0.0%),"Baie-Atibenne NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-Comeau V (2496020) 00000 (  3.1%),"Baie-Comeau V (CSD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Baie-de-la-Bouteille NO (2462906) 09999 (  0.0%),"Baie-de-la-Bouteille NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-des-Chaloupes NO (2479920) 09999 (  0.0%),"Baie-des-Chaloupes NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-des-Sables MÃ‰ (2408080) 00000 (  5.7%),"Baie-des-Sables MÉ (CSD, QC)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,"$1,776",<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Baie-d'Hudson NO (2499904) 09999 ( 33.3%),"Baie-d'Hudson NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-du-Febvre MÃ‰ (2450100) 00000 (  2.7%),"Baie-du-Febvre MÉ (CSD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Baie-D'UrfÃ© V (2466112) 00000 (  1.2%),"Baie-D'Urfé V (CSD, QC)",145000,29000,72500,116000,174000,"<= $29,000","$29,000 - $72,500","$72,500 - $116,000","$116,000 - $174,000",">= $174,001",3625,725,1812.5,2900,"$4,350",<= $725,"$725 - $1,813","$1,813 - $2,900","$2,900 - $4,350",">= $4,351"
  Baie-Johan-Beetz MÃ‰ (2498035) 00909 (  0.0%),"Baie-Johan-Beetz MÉ (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-Obaoca NO (2462918) 09999 (  0.0%),"Baie-Obaoca NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-Sainte-Catherine MÃ‰ (2415065) 00909 (  0.0%),"Baie-Sainte-Catherine MÉ (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Baie-Saint-Paul V (2416013) 00000 (  2.4%),"Baie-Saint-Paul V (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,"$1,920",<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Baie-TrinitÃ© VL (2496005) 00000 (  8.7%),"Baie-Trinité VL (CSD, QC)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,"$1,620",<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
  Baildon No. 131 RM (4707001) 00000 (  8.0%),"Baildon No. 131 RM (CSD, SK)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Balcarres T (4706047) 00000 (  4.9%),"Balcarres T (CSD, SK)",56000,11200,28000,44800,67200,"<= $11,200","$11,200 - $28,000","$28,000 - $44,800","$44,800 - $67,200",">= $67,201",1400,280,700,1120,"$1,680",<= $280,$280 - $700,"$700 - $1,120","$1,120 - $1,680",">= $1,681"
  Baldwin TP (3552028) 00000 (  7.4%),"Baldwin TP (CSD, ON)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Balgonie T (4706032) 00000 (  2.0%),"Balgonie T (CSD, SK)",128000,25600,64000,102400,153600,"<= $25,600","$25,600 - $64,000","$64,000 - $102,400","$102,400 - $153,600",">= $153,601",3200,640,1600,2560,"$3,840",<= $640,"$640 - $1,600","$1,600 - $2,560","$2,560 - $3,840",">= $3,841"
  Bancroft T (3512061) 00000 (  4.9%),"Bancroft T (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Banff T (4815035) 00010 ( 14.8%),"Banff T (CSD, AL)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Bangor VL (4705054) 09999 (  0.0%),"Bangor VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Barkmere V (2478050) 05959 ( 62.5%),"Barkmere V (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Barnston-Ouest MÃ‰ (2444045) 00000 (  3.6%),"Barnston-Ouest MÉ (CSD, QC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,"$1,860",<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Barnwell VL (4802023) 00000 (  0.0%),"Barnwell VL (CSD, AL)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Barons VL (4802016) 00000 (  7.1%),"Barons VL (CSD, AL)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Barraute MÃ‰ (2488022) 00000 (  3.4%),"Barraute MÉ (CSD, QC)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,"$2,025",<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Barrhead County No. 11 MD (4813018) 00000 (  8.8%),"Barrhead County No. 11 MD (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Barrhead T (4813019) 00000 (  6.0%),"Barrhead T (CSD, AL)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Barrie CY (3543042) 00000 (  3.4%),"Barrie CY (CSD, ON)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Barrier Valley No. 397 RM (4714034) 01020 ( 20.7%),"Barrier Valley No. 397 RM (CSD, SK)",45600,9120,22800,36480,54720,"<= $9,120","$9,120 - $22,800","$22,800 - $36,480","$36,480 - $54,720",">= $54,721",1140,228,570,912,"$1,368",<= $228,$228 - $570,$570 - $912,"$912 - $1,368",">= $1,369"
  Barriere DM (5933074) 00000 (  9.2%),"Barriere DM (CSD, BC)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Bashaw T (4810002) 00010 ( 10.0%),"Bashaw T (CSD, AL)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Bassano T (4802039) 00000 (  4.9%),"Bassano T (CSD, AL)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,"$2,085",<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Batiscan MÃ‰ (2437210) 00000 (  5.0%),"Batiscan MÉ (CSD, QC)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,"$1,872",<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
  Battle River No. 438 RM (4712078) 01000 (  0.0%),"Battle River No. 438 RM (CSD, SK)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Battleford T (4712079) 00000 (  3.8%),"Battleford T (CSD, SK)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,"$2,730",<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Bawlf VL (4810009) 00000 (  2.3%),"Bawlf VL (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Bayham MU (3534005) 00000 (  3.6%),"Bayham MU (CSD, ON)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,"$2,400",<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Bayne No. 371 RM (4715011) 00000 (  4.3%),"Bayne No. 371 RM (CSD, SK)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Beaconsfield V (2466107) 00000 (  0.8%),"Beaconsfield V (CSD, QC)",139000,27800,69500,111200,166800,"<= $27,800","$27,800 - $69,500","$69,500 - $111,200","$111,200 - $166,800",">= $166,801",3475,695,1737.5,2780,"$4,170",<= $695,"$695 - $1,738","$1,738 - $2,780","$2,780 - $4,170",">= $4,171"
  Beatty VL (4715052) 00999 ( 16.7%),"Beatty VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Beauce-Sartigan (2429) 00000 (  3.3%),"Beauce-Sartigan (CD, QC)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Beauceville V (2427028) 00000 (  5.8%),"Beauceville V (CSD, QC)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,"$1,965",<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Beauharnois V (2470022) 00000 (  1.7%),"Beauharnois V (CSD, QC)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,"$2,100",<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
Beauharnois-Salaberry (2470) 00000 (  3.0%),"Beauharnois-Salaberry (CD, QC)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,"$1,995",<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  Beaulac-Garthby MÃ‰ (2431008) 00000 (  6.8%),"Beaulac-Garthby MÉ (CSD, QC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Beaumont CY (4811013) 00000 (  4.4%),"Beaumont CY (CSD, AL)",131000,26200,65500,104800,157200,"<= $26,200","$26,200 - $65,500","$65,500 - $104,800","$104,800 - $157,200",">= $157,201",3275,655,1637.5,2620,"$3,930",<= $655,"$655 - $1,638","$1,638 - $2,620","$2,620 - $3,930",">= $3,931"
